RegionID,SizeRank,RegionName,RegionType,StateName,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021
394807,43,"Louisville-Jefferson County, KY",Msa,KY,5000,5033.3333,5333.3333,5485.3333,5618.6667,5352,5200,5033.3333,5000,5000,5000,5000,5000,5300,5528,5561.3333,5294.6667,5066.6667,5033.3333,5000,5000,5000,5000,5000,5000,5000,5000,5131.3333,5298,5631.3333,5833.3333,5700,5366.6667,5033.3333,5000,5000,5033.3333,6150,7516.6667,9141.5,9391.5
394669,44,"Hartford, CT",Msa,CT,9700,10000,10000,10000,10000,10000,10000,9966.6667,9333.3333,8666.6667,7783.3333,7583.3333,8250,9166.6667,10000,10000,10000,10000,10000,10000,9333.3333,9300,8633.3333,9300,9333.3333,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10366.3333,11999.6667,12299.6667
395022,45,"Richmond, VA",Msa,VA,5716.6667,6383.3333,7083.3333,7566.6667,7850,7208.3333,7041.6667,6558.3333,6200,5566.6667,5083.3333,5083.3333,5320.6667,6304,7279,7833.3333,7500.8333,6825.8333,6034.1667,5666.6667,5364.1667,5330.8333,5064.1667,5050,5216.6667,5516.6667,5833.3333,6000,6333.3333,6735,7068.3333,7410,7508.3333,7508.3333,7333.3333,7845,7511.6667,8328.3333,8650,9983.3333,10000
394910,46,"New Orleans, LA",Msa,LA,6000,6000,5830,6163.3333,6163.3333,6333.3333,6000,6000,6000,5666.6667,5666.6667,5666.6667,6000,6500,6833.3333,7000,6500,6166.6667,6000,5666.6667,5366.6667,5366.6667,5700,6333.3333,6333,5999.6667,5633,5824.1667,6657.5,7724.1667,8533.3333,9333.3333,9333.3333,8666.6667,8533.3333,8533.3333,9533.3333,9700,10000,10000,10000
394425,47,"Buffalo, NY",Msa,NY,6433.3333,6766.6667,7933.3333,7983.3333,8657.5,7690.8333,7674.1667,7000,6366.6667,5733.3333,5066.6667,5064.8333,5331.5,5364.8333,6333.3333,7700,9200,9166.6667,8466.6667,7266.6667,6433.3333,5516.6667,5216.6667,5750,6700,8333.3333,8366.6667,8933.3333,8933.3333,9900,10000,10000,9946.1667,9779.5,9479.5,9533.3333,9700,10000,10000,10000,10000
395012,48,"Raleigh, NC",Msa,NC,5700,6100,6400,6066.6667,5966.6667,5666.6667,5333.3333,5033.3333,5000,4950,4950,4950,5000,5033.3333,5066.6667,5100,5066.6667,5033.3333,5000,5000,5000,5000,5000,5000,5033.3333,5033.3333,5066.6667,5483.3333,6117.6667,6317.6667,6219.3333,6285,6385,6366.6667,5700,6094,7427.3333,9061,10333.6667,10333.6667,10333.3333
394388,49,"Birmingham, AL",Msa,AL,5066.6667,5400,5700,5966.6667,5966.6667,5833.3333,5566.6667,5266.6667,5233.3333,5200,5200,6016.6667,6683.3333,7650,7999.3333,7666,7466,6466.6667,6133.3333,5333.3333,5000,5000,5000,5000.3333,5133.6667,5467,5800,7033.3333,7700,7866.6667,7166.6667,6200,6366.6667,6033.3333,7033.3333,7366.6667,8700,9333.3333,10000,10000,10000
395053,50,"Salt Lake City, UT",Msa,UT,8333.3333,9666.6667,9700,10000,10000,10000,10000,9666.6667,8300.3333,6850.5,5817.1667,5550.1667,6333.3333,7700,9300,9935.3333,9902,9635.3333,9300,8050,7016.6667,5717.6667,6084.3333,7417.6667,9083.3333,9999.8333,9999.8333,9999.8333,10000,10000,10000,10000,10000,10000,10000,11516.6667,13183.3333,16516.6667,18333.3333,18333.3333,16666.6667
395031,51,"Rochester, NY",Msa,NY,5033.3333,5166.6667,5833.3333,6133.3333,6666.6667,6133.3333,5800,5166.6667,5033.3333,5033.3333,5000,5000,5300,6933.3333,8100,9433.3333,9166.6667,8331.6667,7331.6667,5998.3333,5700,5066.6667,5033.3333,5333.3333,7000,7966.6667,8133.3333,8133.3333,8833.3333,10000,9700,9383.3333,9050,8816.6667,7800,8133.3333,8666.6667,10000,10000,10000,10000
394640,52,"Grand Rapids, MI",Msa,MI,5033.3333,5866.6667,6733.3333,8333.3333,9133.5,9133.5,7833.5,6566.6667,5733.3333,5433.5,5066.8333,5033.5,5300,6333.3333,7983.5,9350.1667,9983.5,10000,9700,8083.3333,6416.6667,5050,5033.3333,6033.3333,6900,6866.6667,7233.3333,8033.3333,9700,10000,10000,9350,9016.6667,8016.6667,8666.6667,9000,10000,10000,10000,10833.3333,10833.3333
395167,53,"Tucson, AZ",Msa,AZ,5966.6667,6300,6666.6667,6333.3333,5699.8333,5066.5,5099.8333,5233.3333,5500,5800,5966.6667,5800,5800,5800,6000,5828.1667,5636.5,5336.5,5208.3333,5066.6667,5033.3333,5000,5000,5666.6667,6333.3333,6333.3333,6000,5666.6667,6794.3333,6794.3333,7327.6667,6533.3333,6950,6716.6667,7383.3333,7823.3333,8856.6667,9523.3333,10000,10000,10000
753924,54,"Urban Honolulu, HI",Msa,HI,17833.3333,16083.3333,14083.3333,14083.3333,14666.6667,14962.6667,14962.6667,14962.6667,15000,15000,15000,14666.6667,14666.6667,14666.6667,14666.6667,15000,15333.3333,15666.6667,15333.3333,15900,15900,15900,15000,15333.3333,15000,14333.3333,12666.6667,12481.3333,11814.6667,13148,13666.6667,14333.3333,14000,13333.3333,14000,14333.3333,15000,14666.6667,14666.6667,16333.3333,17667
395169,55,"Tulsa, OK",Msa,OK,5000,5000,5000,5000,5000,5000,5000,4999.8333,4999.8333,4999.8333,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000.1667,5000.1667,5000.1667,5000,5033.3333,5033.3333,5066.6667,5033.3333,5033.3333,5000,5000,5018.3333,5385,6568.3333,8216.6667,9516.6667,10000,10000
394619,56,"Fresno, CA",Msa,CA,7166.6667,8000,8866.6667,8866.6667,8700,8350,7983.3333,7983.3333,7066.6667,6650,5983.3333,6550,6850,7483.3333,8450,9266.6667,9788.5,9127.6667,8461,7639.1667,7000,6425,6125,7145.6667,8387.3333,8979,8495,8311.6667,9020,9816.6667,10000,10000,8966.6667,8666.6667,8666.6667,9700,10666.6667,12333.3333,12333.3333,11850,11850
395238,57,"Worcester, MA",Msa,MA,9963.3333,9966.6667,10000,10000,10000,10000,10000,10000,10000,9166.6667,8500,7466.6667,8300,8966.6667,10000,10000,10000,10000,10000,10000,10000,9033.3333,9033.3333,9033.3333,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000.3333,12400.3333,12700.3333,12733.3333
394415,58,"Stamford, CT",Msa,CT,16700,18366.6667,19700,20000,18333.3333,16666.6667,16333.3333,16650,16650,15316.6667,15666.6667,17033.3333,17366.6667,18366.6667,18666.6667,19667,18333.6667,16633.6667,16800,16466.6667,16166.6667,13933.3333,15600,17600,18666.6667,15633.3333,13966.6667,13966.6667,16252,16585.3333,17618.6667,17033.3333,17033.3333,15666.6667,16967,18300.3333,21300.3333,23000,25000,25300,24333.3333
394312,59,"Albuquerque, NM",Msa,NM,5000,5000,5033.3333,5033.3333,5033.3333,5000,5000,5000,5000,5000,5000,5000,5000,5033.3333,5066.6667,5083.3333,5083.3333,5083.3333,5100,5066.6667,5066.6667,5033.3333,5066.6667,5033.3333,5033.3333,5000,5033.3333,5700,6066.6667,6366.6667,6033.3333,6000,6000,5966.6667,5966.6667,6966.6667,8333.3333,9666.6667,10000,10000,10000
