RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31
394849,41,"Memphis, TN",Msa,TN,65.0,67.0,65.0,53.0,49.0,43.0,46.0,45.0,49.0,49.0,55.0,57.0,67.0,64.0,62.0,50.0,42.0,35.0,34.0,37.0,40.0,43.0,45.0,49.0,51.0,51.0,46.0,38.0,33.0,29.0,32.0,31.0,31.0,28.0,26.0,25.0,"","","","","","",""
394935,42,"Oklahoma City, OK",Msa,OK,68.0,69.0,65.0,60.0,59.0,62.0,56.0,57.0,60.0,62.0,66.0,70.0,75.0,78.0,77.0,72.0,64.0,56.0,54.0,52.0,54.0,56.0,59.0,65.0,68.0,68.0,63.0,57.0,53.0,50.0,48.0,47.0,45.0,42.0,40.0,42.0,44.0,44.0,40.0,30.0,20.0,12.0,12.0
394807,43,"Louisville-Jefferson County, KY",Msa,KY,59.0,59.0,49.0,41.0,36.0,35.0,35.0,34.0,36.0,38.0,41.0,50.0,56.0,60.0,54.0,48.0,43.0,39.0,39.0,37.0,40.0,41.0,46.0,50.0,58.0,60.0,53.0,44.0,38.0,37.0,34.0,32.0,29.0,26.0,24.0,25.0,"","","","","","",""
394669,44,"Hartford, CT",Msa,CT,105.0,95.0,87.0,67.0,56.0,46.0,47.0,50.0,54.0,59.0,61.0,71.0,78.0,81.0,73.0,60.0,52.0,47.0,48.0,50.0,54.0,56.0,61.0,68.0,76.0,79.0,70.0,58.0,49.0,45.0,41.0,35.0,41.0,39.0,39.0,32.0,35.0,34.0,27.0,18.0,13.0,12.0,13.0
395022,45,"Richmond, VA",Msa,VA,69.0,63.0,48.0,35.0,34.0,35.0,38.0,39.0,43.0,45.0,50.0,52.0,55.0,54.0,50.0,43.0,36.0,34.0,36.0,40.0,42.0,45.0,47.0,54.0,57.0,55.0,43.0,34.0,30.0,31.0,31.0,28.0,25.0,23.0,23.0,23.0,24.0,22.0,17.0,11.0,8.0,9.0,10.0
394910,46,"New Orleans, LA",Msa,LA,78.0,79.0,75.0,70.0,67.0,68.0,67.0,67.0,64.0,65.0,65.0,69.0,76.0,77.0,77.0,71.0,68.0,59.0,57.0,56.0,60.0,60.0,63.0,69.0,80.0,83.0,77.0,69.0,63.0,62.0,62.0,60.0,61.0,55.0,51.0,45.0,44.0,40.0,34.0,26.0,22.0,19.0,19.0
394425,47,"Buffalo, NY",Msa,NY,64.0,65.0,57.0,46.0,37.0,33.0,31.0,33.0,37.0,41.0,47.0,52.0,58.0,61.0,60.0,51.0,43.0,36.0,37.0,38.0,40.0,41.0,44.0,51.0,59.0,61.0,55.0,51.0,47.0,43.0,34.0,29.0,26.0,26.0,27.0,30.0,31.0,28.0,23.0,18.0,16.0,15.0,15.0
395012,48,"Raleigh, NC",Msa,NC,46.0,42.0,35.0,28.0,26.0,25.0,26.0,29.0,31.0,33.0,33.0,37.0,40.0,39.0,35.0,30.0,28.0,28.0,30.0,32.0,33.0,35.0,37.0,41.0,42.0,40.0,33.0,27.0,25.0,26.0,26.0,24.0,21.0,19.0,19.0,21.0,23.0,22.0,18.0,14.0,12.0,11.0,11.0
394388,49,"Birmingham, AL",Msa,AL,79.0,74.0,67.0,56.0,49.0,47.0,45.0,47.0,49.0,52.0,54.0,57.0,61.0,62.0,57.0,50.0,45.0,43.0,42.0,43.0,47.0,50.0,52.0,56.0,58.0,58.0,51.0,44.0,39.0,40.0,40.0,40.0,35.0,32.0,30.0,30.0,"","","","","","",""
395053,50,"Salt Lake City, UT",Msa,UT,45.0,41.0,34.0,24.0,23.0,22.0,25.0,25.0,27.0,29.0,34.0,39.0,45.0,46.0,41.0,34.0,28.0,26.0,27.0,33.0,34.0,34.0,36.0,41.0,43.0,40.0,33.0,27.0,22.0,25.0,23.0,21.0,17.0,16.0,15.0,19.0,"","","","","","",""
395031,51,"Rochester, NY",Msa,NY,71.0,68.0,62.0,49.0,43.0,36.0,37.0,38.0,43.0,47.0,50.0,56.0,61.0,62.0,55.0,45.0,37.0,33.0,32.0,35.0,38.0,42.0,44.0,52.0,55.0,54.0,46.0,43.0,41.0,38.0,33.0,31.0,32.0,30.0,30.0,32.0,"","","","","","",""
394640,52,"Grand Rapids, MI",Msa,MI,47.0,47.0,41.0,34.0,28.0,24.0,22.0,24.0,29.0,32.0,34.0,35.0,37.0,43.0,41.0,37.0,28.0,26.0,26.0,29.0,33.0,37.0,40.0,44.0,52.0,55.0,49.0,40.0,33.0,33.0,28.0,27.0,22.0,21.0,21.0,23.0,25.0,26.0,22.0,17.0,12.0,11.0,11.0
395167,53,"Tucson, AZ",Msa,AZ,62.0,60.0,57.0,52.0,48.0,46.0,44.0,43.0,41.0,41.0,41.0,44.0,49.0,52.0,53.0,49.0,47.0,43.0,44.0,43.0,42.0,41.0,39.0,41.0,43.0,43.0,39.0,36.0,36.0,37.0,36.0,31.0,26.0,23.0,25.0,26.0,"","","","","","",""
395169,55,"Tulsa, OK",Msa,OK,89.0,88.0,82.0,76.0,72.0,67.0,65.0,65.0,69.0,71.0,76.0,84.0,89.0,90.0,83.0,78.0,77.0,75.0,72.0,66.0,65.0,65.0,65.0,69.0,72.0,72.0,66.0,62.0,58.0,54.0,52.0,48.0,46.0,41.0,40.0,40.0,"","","","","","",""
394619,56,"Fresno, CA",Msa,CA,41.0,40.0,37.0,33.0,32.0,31.0,33.0,33.0,35.0,35.0,43.0,48.0,55.0,55.0,52.0,45.0,40.0,38.0,42.0,44.0,45.0,43.0,47.0,51.0,54.0,54.0,45.0,43.0,40.0,45.0,43.0,38.0,31.0,27.0,26.0,27.0,28.0,27.0,25.0,21.0,19.0,16.0,17.0
395238,57,"Worcester, MA",Msa,MA,58.0,56.0,52.0,41.0,32.0,27.0,27.0,30.0,34.0,38.0,42.0,54.0,58.0,62.0,53.0,45.0,35.0,30.0,31.0,33.0,35.0,38.0,42.0,45.0,50.0,51.0,45.0,36.0,30.0,31.0,30.0,28.0,26.0,23.0,23.0,24.0,28.0,29.0,24.0,17.0,13.0,12.0,13.0
394415,58,"Stamford, CT",Msa,CT,119.0,100.0,101.0,78.0,64.0,59.0,61.0,67.0,69.0,74.0,80.0,87.0,91.0,89.0,81.0,75.0,67.0,67.0,69.0,76.0,80.0,85.0,88.0,102.0,108.0,105.0,89.0,80.0,79.0,76.0,67.0,56.0,56.0,55.0,55.0,53.0,52.0,50.0,40.0,32.0,24.0,22.0,22.0
394312,59,"Albuquerque, NM",Msa,NM,73.0,73.0,66.0,57.0,47.0,41.0,42.0,45.0,49.0,52.0,55.0,59.0,64.0,63.0,58.0,51.0,45.0,42.0,40.0,41.0,42.0,43.0,45.0,48.0,52.0,49.0,43.0,34.0,30.0,30.0,29.0,28.0,25.0,25.0,24.0,27.0,26.0,21.0,14.0,11.0,10.0,11.0,10.0
394308,60,"Albany, NY",Msa,NY,92.0,92.0,84.0,75.0,63.0,55.0,51.0,53.0,56.0,61.0,69.0,76.0,81.0,85.0,83.0,75.0,62.0,54.0,50.0,50.0,52.0,58.0,63.0,73.0,80.0,82.0,75.0,68.0,61.0,"","","",38.0,38.0,38.0,41.0,"","","","","","",""
394938,61,"Omaha, NE",Msa,NE,59.0,51.0,38.0,33.0,33.0,35.0,34.0,37.0,39.0,40.0,40.0,42.0,54.0,63.0,61.0,52.0,42.0,38.0,36.0,35.0,35.0,40.0,45.0,55.0,61.0,64.0,54.0,44.0,37.0,39.0,39.0,37.0,43.0,40.0,39.0,30.0,34.0,29.0,22.0,12.0,11.0,10.0,11.0
394908,62,"New Haven, CT",Msa,CT,95.0,80.0,93.0,74.0,60.0,52.0,50.0,54.0,59.0,65.0,67.0,72.0,76.0,77.0,72.0,64.0,54.0,50.0,50.0,53.0,56.0,57.0,61.0,69.0,74.0,76.0,63.0,53.0,48.0,45.0,44.0,36.0,39.0,34.0,36.0,32.0,35.0,32.0,27.0,18.0,13.0,13.0,14.0
