Cost of Living Index,mortgage_rate,date,nielsen_rank,hotness_rank,hotness_rank_yy,supply_score,demand_score,median_days_on_market_yy,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price_yy,city_name,state_abb,city_state,tax_rank,Effective_Total_Tax_Med_US_Household,Annual_Total_Tax_Med_US_Household,Per_Diff_State_US_Avg,Annual_Total_Tax_State_Household,Adjusted_Overall_Rank
88.4,2.18,2021-07-01,551,25,89,91.05897273,97.01965758,-0.530612245,0.571428571,2.1569,-0.038693067,dayton,oh,dayton_oh,43,13.18%,"$8,329 ",21.98%,"$6,724 ",31
89.3,2.18,2021-07-01,249,941,-212,53.96322131,35.32022828,-0.265306122,0.555555556,0.8235,0.038555054,kalamazoo,mi,kalamazoo_mi,38,12.22%,"$7,728 ",13.18%,"$6,388 ",25
91.9,2.18,2021-07-01,401,1255,-29,45.97336715,11.73113507,-0.366666667,1,0.5098,0.150042481,auburn,al,auburn_al,15,9.10%,"$5,754 ",-15.73%,"$4,508 ",7
,2.18,2021-07-01,1361,646,-557,50.15852885,59.67025999,-0.195652174,-0.173913043,1.1176,0.035159444,greensburg,in,greensburg_in,34,11.75%,"$7,430 ",8.81%,"$6,239 ",28
98.2,2.18,2021-07-01,599,610,-421,28.66201649,83.63982245,-0.2,-0.012820513,1.5098,0.151535381,gettysburg,pa,gettysburg_pa,48,13.97%,"$8,830 ",29.32%,"$8,138 ",44
98.1,2.18,2021-07-01,421,614,446,87.31769182,24.85732403,-0.606299213,0.44,0.7059,0.120128015,grand junction,co,grand junction_co,9,8.54%,"$5,396 ",-20.98%,"$6,611 ",13
101.4,2.18,2021-07-01,246,907,413,39.3785669,52.12428662,-0.467532468,1.6,1.0196,0.170764342,orlando,fl,orlando_fl,6,8.23%,"$5,204 ",-23.79%,"$4,820 ",5
140.6,2.18,2021-07-01,1,1465,-345,20.54533925,3.868103995,-0.169491525,-0.157894737,0.3137,-0.023384091,los angeles,ca,los angeles_ca,11,8.96%,"$5,662 ",-17.08%,"$8,588 ",32
128,2.18,2021-07-01,11,1545,-101,5.707038681,0.253646164,-0.106918239,-0.333333333,0.1176,-0.065420561,new york,ny,new york_ny,49,14.08%,"$8,900 ",30.34%,"$11,024 ",49
,2.18,2021-07-01,1153,30,47,93.97590361,92.01014585,-0.538461538,0.232876712,1.7647,0.581818182,blackfoot,id,blackfoot_id,8,8.43%,"$5,329 ",-21.96%,"$4,870 ",6
90,2.18,2021-07-01,216,310,-38,66.70894103,74.00126823,-0.396226415,0.264150943,1.3137,-0.076247689,cleveland,oh,cleveland_oh,43,13.18%,"$8,329 ",21.98%,"$6,724 ",31
100.3,2.18,2021-07-01,484,494,-192,78.31325301,43.8807863,-0.355555556,0.175,0.9216,0.172761194,atlanta,ga,atlanta_ga,21,10.57%,"$6,683 ",-2.13%,"$5,989 ",15
109.6,2.18,2021-07-01,834,493,-66,82.37159163,39.88585923,-0.282051282,0.5,0.8824,0.105398458,shelton,wa,shelton_wa,37,12.02%,"$7,601 ",11.33%,"$9,732 ",39
100.1,2.18,2021-07-01,990,954,-555,26.5060241,61.6994293,-0.210526316,0.16,1.1373,0.06030745,chicago,il,chicago_il,51,15.01%,"$9,488 ",38.95%,"$9,200 ",47
105.4,2.18,2021-07-01,665,1135,-177,53.96322131,15.72606214,-0.320754717,0.363636364,0.5882,-0.006444683,minneapolis,mn,minneapolis_mn,29,11.27%,"$7,128 ",4.39%,"$7,774 ",29
,2.18,2021-07-01,914,1277,12,20.54533925,34.62270133,-0.406060606,0.75,0.8235,-0.055555556,charleston,il,charleston_il,51,15.01%,"$9,488 ",38.95%,"$9,200 ",47
93.1,2.18,2021-07-01,1251,1304,-190,42.23208624,9.89220038,-0.271028037,0.785714286,0.4902,0.033874524,bismarck,nd,bismarck_nd,18,10.03%,"$6,343 ",-7.11%,"$6,253 ",23
,2.18,2021-07-01,884,440,-20,41.15409004,85.09828789,-0.393939394,0.274193548,1.549,0.218285714,norwalk,oh,norwalk_oh,43,13.18%,"$8,329 ",21.98%,"$6,724 ",31
