city,state,month,year,supply_score,demand_score,median_listing_price_yy,median_days_on_market_yy,unique_viewers_per_property_yy,mortgage_rate,date,date_month_num,hotness_rank_yy,hotness_rank,class,city_state,latitude,longitude
kalispell,mt,July,2021,14.20418516,24.98414711,0.300280636,-0.302631579,0.161290323,2.18,2021-07-01,7,-304,1379,1,"kalispell, mt",48.220939,-114.289163
ocean city,nj,July,2021,31.83259353,66.89917565,0.199919992,-0.505747126,0.244897959,2.18,2021-07-01,7,9,809,2,"ocean city, nj",39.270894,-74.587514
oshkosh,wi,July,2021,35.1934052,84.52758402,-0.007067813,-0.176470588,0.21875,2.18,2021-07-01,7,-344,521,2,"oshkosh, wi",44.021962,-88.543635
vallejo,ca,July,2021,93.97590361,57.13379835,0.173732511,-0.416666667,0.078431373,2.18,2021-07-01,7,-151,235,0,"vallejo, ca",38.148345,-122.249333
port angeles,wa,July,2021,85.22511097,80.34242232,0.126013514,-0.5,0.738095238,2.18,2021-07-01,7,319,131,0,"port angeles, wa",48.106489,-123.438442
lewisburg,tn,July,2021,58.14838301,65.69435637,-0.020842566,-0.270833333,0.418604651,2.18,2021-07-01,7,-158,470,2,"lewisburg, tn",35.459615,-86.781204
detroit,mi,July,2021,85.22511097,12.93595434,0.130162318,-0.4,0.125,2.18,2021-07-01,7,-106,817,3,"detroit, mi",42.347429,-83.060398
dixon,il,July,2021,58.14838301,77.86937223,-0.018998273,-0.396551724,0.8205128209999999,2.18,2021-07-01,7,272,349,0,"dixon, il",41.847797,-89.489303
rockingham,nc,July,2021,12.11160431,81.61065314,-0.112567004,-0.401069519,0.595744681,2.18,2021-07-01,7,34,875,2,"rockingham, nc",34.933613,-79.766566
missoula,mt,July,2021,31.83259353,73.81103361,0.277465508,-0.295081967,0.425531915,2.18,2021-07-01,7,-179,698,2,"missoula, mt",46.856274,-114.025207
pittsfield,ma,July,2021,26.506024100000005,28.53519341,0.109913793,-0.4,0.2666666669999999,2.18,2021-07-01,7,-192,1279,1,"pittsfield, ma",42.453086,-73.247088
erie,pa,July,2021,50.15852885,59.48002536,0.020726945,-0.393442623,0.333333333,2.18,2021-07-01,7,-51,649,2,"erie, pa",42.125962,-80.08601
hagerstown,md,July,2021,53.96322131,31.57894737,0.040016006,-0.307692308,0.176470588,2.18,2021-07-01,7,-380,986,3,"hagerstown, md",39.632022,-77.737215
richmond,ky,July,2021,66.70894103,47.36842105,0.079815963,-0.384615385,0.4,2.18,2021-07-01,7,-22,600,3,"richmond, ky",37.754605,-84.295526
warsaw,in,July,2021,91.05897273,90.55168041,0.102846975,-0.477272727,0.303030303,2.18,2021-07-01,7,32,46,0,"warsaw, in",41.24377,-85.85078
richmond,in,July,2021,58.14838301,64.61636018,-0.19165247,-0.385964912,0.395348837,2.18,2021-07-01,7,16,487,2,"richmond, in",39.83244,-84.893606
hillsdale,mi,July,2021,86.30310717,92.64426126,-0.095477387,-0.535714286,0.277777778,2.18,2021-07-01,7,165,61,0,"hillsdale, mi",41.923954,-84.620812
gillette,wy,July,2021,42.23208624,15.3455929,-0.010757315,-0.327586207,1.307692308,2.18,2021-07-01,7,-62,1258,1,"gillette, wy",44.282009,-105.497442
albany,ga,July,2021,22.6379201,9.004438808,-0.093904448,-0.5596330279999999,0.411764706,2.18,2021-07-01,7,39,1428,1,"albany, ga",31.567783,-84.161923
fort wayne,in,July,2021,6.658211795,99.61953075,0.33647935,0.472527473,-0.082802548,2.18,2021-07-01,7,-642,689,2,"fort wayne, in",41.0716,-85.1367
boston,ma,July,2021,96.19530755,96.57577679,0.139478558,-0.479452055,0.08,2.18,2021-07-01,7,0,11,0,"boston, ma",42.357603,-71.068432
moultrie,ga,July,2021,70.7038681,85.66899176,0.325662831,-0.62195122,2.80952381,2.18,2021-07-01,7,1134,204,0,"moultrie, ga",31.179244,-83.764089
kinston,nc,July,2021,14.20418516,72.73303741,0.455730165,-0.353658537,1.09375,2.18,2021-07-01,7,146,972,2,"kinston, nc",35.278333,-77.585969
waycross,ga,July,2021,85.22511097,34.36905517,-0.107517221,-0.684210526,1.470588235,2.18,2021-07-01,7,884,523,3,"waycross, ga",31.219686,-82.364512
